Symbol,Name,산업분류(중분류),PER_cheap_2023,PBR_cheap_2023,EV_EBITDA_cheap_2023,PER_cheap_2022,PBR_cheap_2022,EV_EBITDA_cheap_2022,PER_cheap_2021,PBR_cheap_2021,EV_EBITDA_cheap_2021,PER_cheap_3y,PBR_cheap_3y,EV_EBITDA_cheap_3y,PER_gap_med_2023,PBR_gap_med_2023,EV_EBITDA_gap_med_2023,DDM_price,DDM_equity_value,DDM_r_used,DDM_g_used,DDM_payout_used,RIM_price,RIM_equity_value,RIM_r_used,RIM_g_used,RIM_payout_used,NI_avg3,NI_CAGR2Y,SalesCAGR3Y,PER,PBR,EV_EBITDA,기말발행주식수,총자산,자기자본비율,당기순이익,CFO_NI,Accruals
A013340,AJS,1차 금속 제조업,,,0.8241758241758241,,,0.7752808988764045,,,0.8409090909090909,,,0.8128539999326516,,,-1.6821655985228712,,,0.08,-0.061735808191117,,,133178.6506631523,0.08,-0.061735808191117,0.3,,,-0.061735808191117,,,-4.833324529095304,,39091.949,12.47,-6164.199,0.7805432627986215,-1352.7749999999996
A155660,DSR,1차 금속 제조업,0.8490566037735849,0.8529411764705882,0.7032967032967032,0.7571428571428571,0.6582278481012658,0.7640449438202247,0.4776119402985075,0.6987179487179487,0.5454545454545454,0.747193547089351,0.7636825324092635,0.6899527438853281,-0.5748116254036597,-0.4482758620689654,-0.4596932966105445,0.013436689005468749,214987.02408749997,0.08,0.05,0.35,-1.533056270735502,-24528900.331768032,0.08,0.05,0.35,,,0.0801570984398152,3.95,0.32,3.828216562637643,16000000.0,343481.01525,63.53,17549.96115,1.2232860555363678,-3918.6616
A069730,DSR제강,1차 금속 제조업,0.7358490566037736,0.8705882352941177,0.7472527472527473,0.9142857142857143,0.7974683544303798,0.8314606741573034,0.3731343283582089,0.8076923076923077,0.28409090909090906,0.7168371082592429,0.8360730855146342,0.6798827576917464,-0.49946178686759946,-0.4655172413793103,-0.6785642754657032,0.011011208431076388,158561.40140749997,0.08,0.05,0.35,-1.5310700491072486,-22047408.70714438,0.08,0.05,0.35,,,0.0651750362128726,4.65,0.31,2.277457519527863,14400000.0,262988.1069,74.22,12943.78787,3.222531032563963,-28767.970220000003
A008970,KBI동양철관,1차 금속 제조업,,0.19999999999999996,0.21978021978021978,0.11428571428571432,0.1392405063291139,0.3595505617977528,,0.14102564102564108,0.0,0.11428571428571432,0.16997728010386237,0.2177552784294357,,0.931034482758621,1.1843895964908948,-0.00011482415381246916,-13650.902825000001,0.08,0.05,0.25,-0.08318780064313376,-9889805.803921144,0.08,0.05,0.25,,,0.1698653479719303,,1.12,15.476980722395751,118885290.0,208762.93355,41.72,-1560.10318,7.839082303517899,10669.67405
A024840,KBI메탈,1차 금속 제조업,0.037735849056603765,0.6941176470588235,0.37362637362637363,0.17142857142857137,0.7088607594936709,0.3033707865168539,,0.5769230769230769,0.43181818181818177,0.0878706199460916,0.6751016667621285,0.36418805913187935,83.49300322927881,-0.27586206896551724,0.2740626981071477,0.00024018168578173536,8154.776612500001,0.08,0.05,0.35,-0.40761954175045784,-13839715.942727298,0.08,0.05,0.35,,,0.1164857146913833,784.94,0.42,9.027072757261246,33952533.0,234401.18698,52.07,665.69605,17.929103409882032,-11269.63727
A016380,KG스틸,1차 금속 제조업,0.9056603773584906,0.6235294117647059,0.6483516483516483,0.9571428571428572,0.6582278481012658,0.7191011235955056,0.582089552238806,0.3846153846153846,0.6022727272727273,0.8563909562698636,0.5861561372358095,0.6603607067090213,-0.5909580193756727,-0.18965517241379304,-0.3537421458510347,0.028812168004337658,2881473.1422925005,0.08,0.05,0.35,-2.127263058428227,-212745232.1022535,0.08,0.05,0.35,,,0.1355386462225962,3.8,0.47,4.578908618878359,100008897.0,3195514.05436,59.16,235222.29733,1.705572595684503,-165966.40689
A001940,KISCO홀딩스,1차 금속 제조업,0.7924528301886793,0.8235294117647058,0.5934065934065934,0.8142857142857143,0.9620253164556962,0.8202247191011236,0.9850746268656716,0.9615384615384616,0.8068181818181819,0.8375270547531883,0.8926799931267541,0.7041343487972702,-0.5446716899892357,-0.4137931034482758,-0.2921881146256943,0.07042812683678303,1139272.1424000002,0.08,0.05,0.25,-11.034815909610943,-178503375.38391227,0.08,0.05,0.25,130202.53056,,0.1314278610160726,4.23,0.34,5.015035286113341,16176380.0,1802517.20457,88.71,130202.53056,0.1613767687127816,109190.8669
A000170,LG금속,1차 금속 제조업,,,,,,,,,,,,,,,,,,0.08,0.0,0.3,,,,,,,,0.0,,,,12000000.0,,,,,
A008260,NI스틸,1차 금속 제조업,0.9433962264150944,0.3764705882352941,0.7252747252747253,0.8857142857142857,0.44303797468354433,0.8426966292134832,0.7164179104477613,0.5576923076923077,0.6704545454545454,0.8806959810113851,0.4326851480611719,0.7495372604923167,-0.6318622174381054,0.2586206896551724,-0.6060924263306269,0.021505769086364226,615067.512045,0.08,0.05,0.35,-0.8846815388107786,-25301995.51772831,0.08,0.05,0.35,,,0.2574818902873264,3.42,0.73,2.790939827712178,28600117.0,447987.06326,52.28,50209.59282,2.1081562465457173,-55640.07392
A005490,POSCO홀딩스,1차 금속 제조업,0.2075471698113207,0.3529411764705882,0.46153846153846156,0.5285714285714286,0.7088607594936709,0.7303370786516854,0.791044776119403,0.782051282051282,0.875,0.42055396870096956,0.5455390724936517,0.6248703543647365,1.6781485468245427,0.2931034482758621,0.07721182827308182,0.19097727923254756,16151183.406750003,0.08,0.05,0.25,-79.87571860830758,-6755187769.83846,0.08,0.05,0.25,,,0.1009762442069739,24.88,0.75,7.632332037701436,84571230.0,100945394.18507,59.11,1845849.5322,0.5905336899757077,755813.1968100001
A001770,SHD,1차 금속 제조업,0.1132075471698113,0.5764705882352941,0.10989010989010994,0.7857142857142857,0.40506329113924056,0.8764044943820225,0.5373134328358209,0.39743589743589747,0.5,0.39978074586635554,0.48924146094659865,0.41786640325966173,24.075349838536063,-0.13793103448275856,2.470563186182028,0.0007944210447468799,965.12465,0.08,0.05,0.25,-4.786039633612825,-5814454.258004282,0.08,0.05,0.25,,,0.1118828942787382,232.95,0.5,24.58986236460933,1214878.0,84766.15812,60.48,110.29996,-102.91988437711127,11462.35909
A009160,SIMPAC,1차 금속 제조업,,0.7235294117647059,0.3846153846153846,0.7142857142857143,0.6012658227848101,0.8876404494382022,0.6865671641791045,0.5064102564102564,0.7840909090909091,0.7031982942430703,0.6434265039998472,0.6154180089573348,,-0.2931034482758621,0.23744882667841427,-0.0008644220944947844,-56558.71926250001,0.08,0.05,0.25,-1.0106633831349712,-66127215.99744372,0.08,0.05,0.25,,,0.1854220216180069,,0.41,8.7676537492303,65429516.0,1057913.46953,55.07,-6463.85363,-9.867440162007505,-70245.54254
